Reported_Date,Total_ICU_Covid_19
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,244
2020-05-02,236
2020-05-03,246
2020-05-04,243
2020-05-05,243
2020-05-06,240
2020-05-07,234
2020-05-08,230
2020-05-09,218
2020-05-10,211
2020-05-11,215
2020-05-12,211
2020-05-13,207
2020-05-14,201
2020-05-15,194
2020-05-16,196
2020-05-17,188
2020-05-18,190
2020-05-19,192
2020-05-20,185
2020-05-21,181
2020-05-22,176
2020-05-23,175
2020-05-24,176
2020-05-25,175
2020-05-26,172
2020-05-27,173
2020-05-28,163
2020-05-29,159
2020-05-30,155
2020-05-31,156
2020-06-01,161
2020-06-02,160
2020-06-03,158
2020-06-04,152
2020-06-05,149
2020-06-06,146
2020-06-07,142
2020-06-08,143
2020-06-09,141
2020-06-10,144
2020-06-11,145
2020-06-12,140
2020-06-13,136
2020-06-14,128
2020-06-15,129
2020-06-16,126
2020-06-17,118
2020-06-18,111
2020-06-19,108
2020-06-20,108
2020-06-21,114
2020-06-22,107
2020-06-23,106
2020-06-24,101
2020-06-25,97
2020-06-26,92
2020-06-27,87
2020-06-28,86
2020-06-29,82
2020-06-30,74
2020-07-01,70
2020-07-02,71
2020-07-03,70
2020-07-04,0
2020-07-05,67
2020-07-06,64
2020-07-07,61
2020-07-08,61
2020-07-09,58
2020-07-10,60
2020-07-11,57
2020-07-12,55
2020-07-13,53
2020-07-14,55
2020-07-15,55
2020-07-16,50
2020-07-17,52
2020-07-18,53
2020-07-19,53
2020-07-20,55
2020-07-21,55
2020-07-22,57
2020-07-23,55
2020-07-24,50
2020-07-25,47
2020-07-26,46
2020-07-27,47
2020-07-28,46
2020-07-29,43
2020-07-30,39
2020-07-31,41
2020-08-01,40
2020-08-02,41
2020-08-03,40
2020-08-04,40
2020-08-05,41
2020-08-06,38
2020-08-07,38
2020-08-08,38
2020-08-09,38
2020-08-10,37
2020-08-11,34
2020-08-12,33
2020-08-13,31
2020-08-14,28
2020-08-15,29
2020-08-16,30
2020-08-17,28
2020-08-18,26
2020-08-19,26
2020-08-20,27
2020-08-21,26
2020-08-22,25
2020-08-23,21
2020-08-24,23
2020-08-25,24
2020-08-26,24
2020-08-27,26
2020-08-28,25
2020-08-29,28
2020-08-30,30
2020-08-31,29
2020-09-01,29
2020-09-02,21
2020-09-03,20
2020-09-04,24
2020-09-05,23
2020-09-06,24
2020-09-07,24
2020-09-08,25
2020-09-09,24
2020-09-10,23
2020-09-11,25
2020-09-12,18
2020-09-13,20
2020-09-14,24
2020-09-15,26
2020-09-16,28
2020-09-17,28
2020-09-18,28
2020-09-19,29
2020-09-20,31
2020-09-21,30
2020-09-22,30
2020-09-23,30
2020-09-24,33
2020-09-25,31
2020-09-26,34
2020-09-27,34
2020-09-28,35
2020-09-29,34
2020-09-30,39
2020-10-01,41
2020-10-02,44
2020-10-03,47
2020-10-04,48
2020-10-05,48
2020-10-06,45
2020-10-07,48
2020-10-08,53
2020-10-09,52
2020-10-10,53
2020-10-11,57
2020-10-12,58
2020-10-13,65
2020-10-14,68
2020-10-15,67
2020-10-16,72
2020-10-17,77
2020-10-18,76
2020-10-19,74
2020-10-20,77
2020-10-21,76
2020-10-22,83
2020-10-23,87
2020-10-24,90
2020-10-25,86
2020-10-26,85
2020-10-27,82
2020-10-28,79
2020-10-29,86
2020-10-30,86
2020-10-31,83
2020-11-01,82
2020-11-02,86
2020-11-03,85
2020-11-04,85
2020-11-05,97
2020-11-06,97
2020-11-07,101
2020-11-08,99
2020-11-09,96
2020-11-10,93
2020-11-11,99
2020-11-12,107
2020-11-13,114
2020-11-14,116
2020-11-15,127
2020-11-16,134
2020-11-17,137
2020-11-18,137
2020-11-19,154
2020-11-20,151
2020-11-21,154
2020-11-22,155
2020-11-23,164
2020-11-24,167
2020-11-25,167
2020-11-26,157
2020-11-27,160
2020-11-28,162
2020-11-29,167
2020-11-30,179
2020-12-01,195
2020-12-02,192
2020-12-03,208
2020-12-04,219
2020-12-05,214
2020-12-06,217
2020-12-07,227
2020-12-08,233
2020-12-09,234
2020-12-10,242
2020-12-11,251
2020-12-12,253
2020-12-13,271
2020-12-14,264
2020-12-15,269
2020-12-16,277
2020-12-17,282
2020-12-18,278
2020-12-19,271
2020-12-20,277
2020-12-21,280
2020-12-22,288
2020-12-23,291
2020-12-24,297
2020-12-25,298
2020-12-26,307
2020-12-27,303
2020-12-28,315
2020-12-29,324
2020-12-30,342
2020-12-31,354
2021-01-01,355
2021-01-02,344
2021-01-03,352
2021-01-04,355
2021-01-05,375
2021-01-06,381
2021-01-07,382
2021-01-08,394
2021-01-09,409
2021-01-10,411
2021-01-11,412
2021-01-12,411
2021-01-13,409
2021-01-14,413
2021-01-15,413
2021-01-16,421
2021-01-17,415
2021-01-18,416
2021-01-19,420
2021-01-20,416
2021-01-21,410
2021-01-22,406
2021-01-23,418
2021-01-24,413
2021-01-25,418
2021-01-26,405
2021-01-27,400
2021-01-28,386
2021-01-29,391
2021-01-30,385
2021-01-31,385
2021-02-01,383
2021-02-02,369
2021-02-03,368
2021-02-04,356
2021-02-05,359
2021-02-06,364
2021-02-07,372
2021-02-08,370
2021-02-09,349
2021-02-10,341
2021-02-11,331
2021-02-12,328
2021-02-13,322
2021-02-14,329
2021-02-15,331
2021-02-16,333
2021-02-17,334
2021-02-18,316
2021-02-19,307
2021-02-20,294
2021-02-21,307
2021-02-22,310
2021-02-23,313
2021-02-24,316
2021-02-25,313
2021-02-26,317
2021-02-27,308
2021-02-28,322
2021-03-01,311
2021-03-02,310
2021-03-03,301
2021-03-04,306
2021-03-05,312
2021-03-06,312
2021-03-07,308
2021-03-08,318
2021-03-09,326
2021-03-10,309
2021-03-11,308
2021-03-12,314
2021-03-13,308
2021-03-14,316
2021-03-15,329
2021-03-16,325
2021-03-17,334
2021-03-18,341
2021-03-19,346
2021-03-20,335
2021-03-21,340
2021-03-22,331
2021-03-23,357
2021-03-24,363
2021-03-25,360
2021-03-26,384
2021-03-27,392
2021-03-28,393
2021-03-29,409
2021-03-30,411
2021-03-31,424
2021-04-01,433
2021-04-02,435
2021-04-03,451
2021-04-04,476
2021-04-05,494
2021-04-06,510
2021-04-07,504
2021-04-08,525
2021-04-09,552
2021-04-10,585
2021-04-11,605
2021-04-12,619
2021-04-13,626
2021-04-14,642
2021-04-15,659
2021-04-16,701
2021-04-17,726
2021-04-18,741
2021-04-19,755
2021-04-20,773
2021-04-21,790
2021-04-22,806
2021-04-23,818
2021-04-24,833
2021-04-25,851
2021-04-26,877
2021-04-27,875
2021-04-28,877
2021-04-29,884
2021-04-30,883
2021-05-01,900
2021-05-02,895
2021-05-03,889
2021-05-04,886
2021-05-05,882
2021-05-06,877
2021-05-07,858
2021-05-08,851
2021-05-09,848
2021-05-10,828
2021-05-11,802
2021-05-12,776
2021-05-13,776
2021-05-14,777
2021-05-15,785
2021-05-16,785
2021-05-17,779
2021-05-18,764
2021-05-19,735
2021-05-20,721
2021-05-21,715
2021-05-22,706
2021-05-23,693
2021-05-24,687
2021-05-25,692
2021-05-26,672
2021-05-27,650
2021-05-28,645
2021-05-29,626
2021-05-30,614
2021-05-31,617
2021-06-01,583
2021-06-02,576
2021-06-03,546
2021-06-04,522
2021-06-05,516
2021-06-06,510
2021-06-07,497
2021-06-08,481
2021-06-09,466
2021-06-10,450
2021-06-11,440
2021-06-12,422
2021-06-13,426
2021-06-14,409
2021-06-15,382
2021-06-16,377
2021-06-17,362
2021-06-18,352
2021-06-19,335
2021-06-20,333
2021-06-21,323
2021-06-22,314
2021-06-23,305
2021-06-24,300
2021-06-25,284
2021-06-26,286
2021-06-27,289
2021-06-28,287
2021-06-29,276
2021-06-30,271
2021-07-01,254
2021-07-02,252
2021-07-03,243
2021-07-04,235
2021-07-05,228
2021-07-06,226
2021-07-07,220
2021-07-08,215
2021-07-09,202
2021-07-10,197
2021-07-11,202
2021-07-12,204
2021-07-13,192
2021-07-14,180
2021-07-15,168
2021-07-16,158
2021-07-17,149
2021-07-18,150
2021-07-19,151
2021-07-20,149
2021-07-21,145
2021-07-22,141
2021-07-23,136
2021-07-24,132
2021-07-25,127
2021-07-26,131
2021-07-27,127
2021-07-28,122
2021-07-29,121
2021-07-30,117
2021-07-31,112
2021-08-01,110
2021-08-02,108
2021-08-03,106
2021-08-04,108
2021-08-05,110
2021-08-06,110
2021-08-07,111
2021-08-08,115
2021-08-09,113
2021-08-10,109
2021-08-11,108
2021-08-12,113
2021-08-13,111
2021-08-14,111
2021-08-15,116
2021-08-16,119
2021-08-17,127
2021-08-18,128
2021-08-19,131
2021-08-20,135
2021-08-21,130
2021-08-22,141
2021-08-23,151
2021-08-24,156
2021-08-25,161
2021-08-26,165
2021-08-27,158
2021-08-28,162
2021-08-29,158
2021-08-30,160
2021-08-31,158
2021-09-01,163
2021-09-02,162
2021-09-03,169
2021-09-04,172
2021-09-05,179
2021-09-06,187
2021-09-07,192
2021-09-08,194
2021-09-09,185
2021-09-10,177
2021-09-11,180
2021-09-12,184
2021-09-13,189
2021-09-14,192
2021-09-15,188
2021-09-16,191
2021-09-17,194
2021-09-18,185
2021-09-19,182
2021-09-20,177
2021-09-21,179
2021-09-22,187
2021-09-23,193
2021-09-24,193
2021-09-25,178
2021-09-26,177
2021-09-27,184
2021-09-28,180
2021-09-29,172
2021-09-30,171
2021-10-01,163
2021-10-02,162
2021-10-03,163
2021-10-04,159
2021-10-05,155
2021-10-06,156
2021-10-07,149
2021-10-08,154
2021-10-09,153
2021-10-10,153
2021-10-11,155
2021-10-12,149
2021-10-13,153
2021-10-14,158
2021-10-15,163
2021-10-16,164
2021-10-17,164
2021-10-18,168
2021-10-19,159
2021-10-20,159
2021-10-21,161
2021-10-22,149
2021-10-23,136
2021-10-24,137
2021-10-25,138
2021-10-26,138
2021-10-27,134
2021-10-28,132
2021-10-29,130
2021-10-30,132
2021-10-31,133
2021-11-01,133
2021-11-02,136
2021-11-03,137
2021-11-04,130
2021-11-05,129
2021-11-06,130
2021-11-07,126
2021-11-08,127
2021-11-09,134
2021-11-10,136
2021-11-11,132
2021-11-12,130
2021-11-13,131
2021-11-14,133
2021-11-15,141
2021-11-16,139
2021-11-17,133
2021-11-18,129
2021-11-19,128
2021-11-20,133
2021-11-21,135
2021-11-22,133
2021-11-23,134
2021-11-24,137
2021-11-25,137
2021-11-26,140
2021-11-27,134
